TimeStamp,o,h,l,c
2024-08-11,123.58,129.18,122.56,124.34
2024-08-12,124.34,130.2,126.38,130.2
2024-08-13,127.91,129.43,127.91,129.43
2024-08-14,130.45,131.47,129.18,129.18
2024-08-15,131.47,133.76,131.47,133.0
2024-08-18,130.71,130.71,130.2,130.45
2024-08-19,128.42,130.45,128.42,129.43
2024-08-20,131.72,134.02,131.72,134.02
2024-08-21,134.02,134.02,129.18,133.0
2024-08-22,133.0,133.0,130.71,130.71
2024-08-25,129.69,129.94,129.18,129.18
2024-08-26,128.16,128.16,126.63,127.91
2024-08-27,129.18,129.94,128.67,129.18
2024-08-28,129.43,133.76,129.43,133.0
2024-08-29,133.0,137.58,132.23,137.07
2024-09-01,137.07,149.29,137.07,149.29
2024-09-02,151.83,156.92,144.45,144.96
2024-09-03,144.96,144.45,140.89,140.89
2024-09-04,139.36,144.45,139.36,144.45
2024-09-05,142.42,143.18,141.65,142.42
2024-09-08,142.42,142.92,141.14,141.65
2024-09-09,141.65,143.94,140.89,141.91
2024-09-10,141.91,145.22,141.91,143.94
2024-09-11,141.91,146.49,141.65,146.49
2024-09-12,146.49,149.03,142.42,143.43
2024-09-15,145.72,145.72,141.91,143.18
2024-09-16,140.63,143.69,140.63,141.91
2024-09-17,144.45,147.0,143.18,145.72
2024-09-18,145.72,147.0,143.43,146.49
